C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1     1/24/2017  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	S	Ar	K	Ca	Ti	Cr	Mn	Fe	Ni	Cu	Zn	Br	Rb	Sr	Zr	Tc	Ag	In	Sn	Ba	Pm	Sm	Gd	Tb	Dy	Ho	Tm	Tl	Pb	At	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000000.spe	27.34	5.37	1	0.017510	-0.010617	0.009813	0.091522	23323	2.48	0.000	0.000	0.000	0.035	1.605	0.000	0.032	0.118	0.000	0.000	1.960	0.606	0.000	0.139	0.612	1.044	1.468	2.828	0.049	0.158	0.073	0.103	0.000	0.000	0.000	0.000	0.074	0.069	0.163	0.308	0.000	0.084	0.129	0.446	0.148	0.000	0.000	0.465	0.000	0.000	0.000	0.000	0.000	0.000	115.394	23.256	0.308	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000001.spe	29.34	5.49	1	0.017515	-0.010617	0.009813	0.091522	24943	2.27	0.000	0.000	0.000	0.047	1.510	0.000	0.024	0.084	0.000	0.000	4.777	0.614	0.017	0.057	0.407	1.435	1.895	2.565	0.076	0.186	0.047	0.051	0.000	0.059	0.000	0.000	0.203	0.128	0.279	0.394	0.000	0.093	0.000	0.619	0.153	0.000	0.000	0.752	0.000	0.000	0.000	0.000	0.000	0.022	124.555	24.123	0.314	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000002.spe	31.34	5.32	1	0.017522	-0.010617	0.009813	0.091522	41276	1.41	0.000	0.056	0.623	0.056	1.339	4.490	1.047	4.084	0.147	1.357	140.457	0.652	0.000	0.859	0.704	1.647	2.770	4.146	0.064	0.123	0.000	0.136	0.153	0.121	0.000	0.000	0.000	0.019	0.306	1.543	0.000	0.559	0.000	0.086	0.221	0.406	0.730	4.551	0.106	0.061	0.000	0.000	0.338	0.113	145.934	30.310	0.351	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000003.spe	33.34	5.03	1	0.017518	-0.010617	0.009768	0.091522	48021	1.30	0.000	0.189	0.717	0.082	0.990	5.174	1.670	6.778	0.706	1.781	147.337	0.967	0.000	1.431	0.765	2.457	2.677	5.544	0.037	0.035	0.129	0.102	0.283	0.000	0.091	0.000	0.444	0.000	0.100	1.760	0.000	0.634	0.188	1.078	0.000	0.625	0.889	4.288	0.035	0.000	0.000	0.000	0.022	0.135	172.789	34.890	0.380	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000004.spe	35.34	5.02	1	0.017519	-0.010617	0.009755	0.091522	50939	1.40	0.000	0.176	0.637	0.049	0.875	5.858	1.926	7.457	0.743	2.126	201.181	0.756	0.000	1.696	0.881	2.161	2.704	4.756	0.000	0.116	0.027	0.061	0.414	0.000	0.000	0.000	1.138	0.651	0.433	1.922	0.029	1.014	0.202	0.864	0.173	0.445	0.890	5.969	0.000	0.142	0.000	0.000	0.053	0.000	173.766	34.031	0.386	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000005.spe	37.34	5.02	1	0.017520	-0.010617	0.009737	0.091522	50311	1.49	0.000	0.198	0.788	0.116	0.924	5.351	1.967	6.588	0.524	2.264	202.883	0.874	0.000	1.850	0.759	2.661	2.455	4.562	0.013	0.073	0.218	0.025	0.264	0.000	0.117	0.000	0.000	0.069	0.098	2.249	0.000	0.911	0.000	1.121	0.080	0.515	1.494	6.770	0.181	0.000	0.000	0.000	0.148	0.000	167.009	32.833	0.381	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000006.spe	39.34	5.00	1	0.017515	-0.010617	0.009714	0.091522	47392	1.31	0.000	0.106	0.891	0.107	0.946	6.345	1.672	7.308	0.303	1.575	149.481	0.725	0.139	1.855	0.801	2.796	3.026	5.362	0.000	0.094	0.000	0.261	0.497	0.105	0.068	0.000	1.587	0.000	0.868	1.555	0.225	1.041	0.252	0.689	0.278	0.341	0.253	4.632	0.081	0.283	0.040	0.018	0.814	0.475	167.732	33.824	0.374	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000007.spe	41.34	5.00	1	0.017517	-0.010617	0.009806	0.091522	51395	1.51	0.000	0.129	0.801	0.170	1.064	5.526	1.955	7.627	0.301	1.597	214.595	0.685	0.000	1.400	0.704	2.516	2.830	5.684	0.020	0.060	0.172	0.069	0.470	0.128	0.000	0.000	1.958	0.000	0.671	1.835	0.000	0.992	0.058	0.518	0.000	0.408	1.276	5.514	0.000	0.000	0.038	0.000	0.344	0.165	174.018	35.811	0.392	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000008.spe	43.34	4.95	1	0.017516	-0.010617	0.009797	0.091522	54526	1.54	0.000	0.129	0.594	0.156	0.882	4.146	1.757	5.559	0.524	2.316	253.424	0.746	0.000	1.317	1.333	2.351	2.103	3.650	0.025	0.154	0.092	0.090	0.317	0.000	0.000	0.000	1.084	0.000	0.781	2.339	0.223	1.349	0.202	1.165	0.043	0.424	1.173	8.252	0.000	0.270	0.000	0.000	0.670	0.000	189.485	36.038	0.406	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000009.spe	45.34	4.94	1	0.017514	-0.010617	0.009755	0.091522	47597	1.38	0.000	0.015	0.649	0.058	0.604	4.271	1.833	5.016	0.229	2.053	132.514	0.861	0.131	1.211	1.206	1.696	2.035	2.596	0.074	0.275	0.000	0.135	0.198	0.182	0.000	0.000	1.346	0.000	0.220	1.404	0.047	1.047	0.157	1.232	0.000	0.491	0.875	3.928	0.000	0.000	0.000	0.000	0.357	0.000	178.538	31.372	0.373	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000010.spe	47.34	4.93	1	0.017514	-0.010617	0.009778	0.091522	44185	1.43	0.000	0.087	0.648	0.079	1.104	3.914	1.421	4.821	0.000	1.389	134.367	0.785	0.069	1.202	0.809	1.102	1.856	3.170	0.044	0.077	0.000	0.168	0.211	0.344	0.021	0.000	1.279	0.000	0.422	1.418	0.000	0.561	0.091	0.133	0.475	0.437	0.626	4.179	0.000	0.013	0.000	0.000	0.113	0.078	154.907	29.368	0.349	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000011.spe	49.34	5.05	1	0.017517	-0.010617	0.009813	0.091522	43836	1.54	0.000	0.053	0.625	0.026	0.978	3.952	1.238	4.754	0.603	1.042	227.797	0.473	0.000	0.707	0.771	1.632	1.449	2.976	0.067	0.054	0.310	0.000	0.238	0.000	0.000	0.000	0.970	0.000	0.320	2.164	0.000	0.531	0.217	0.225	0.000	0.698	1.079	6.819	0.000	0.000	0.051	0.000	0.325	0.300	119.123	24.140	0.325	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000012.spe	51.34	5.05	1	0.017519	-0.010617	0.009882	0.091522	45439	1.43	0.000	0.025	1.190	0.045	0.999	6.268	1.205	6.919	0.527	1.144	214.267	0.807	0.000	1.189	0.485	2.120	1.929	4.339	0.000	0.049	0.261	0.028	0.454	0.011	0.095	0.000	0.233	0.589	0.155	1.859	0.000	0.434	0.164	1.032	0.000	0.778	1.023	6.684	0.232	0.089	0.000	0.000	0.440	0.414	128.677	29.165	0.337	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000013.spe	53.34	5.04	1	0.017515	-0.010617	0.009816	0.091522	41777	1.27	0.000	0.035	1.308	0.000	1.017	6.398	1.234	7.342	0.761	1.123	150.902	0.750	0.000	1.102	0.133	2.727	2.152	4.372	0.049	0.046	0.333	0.030	0.741	0.000	0.146	0.000	0.776	0.000	0.317	1.620	0.260	0.012	0.332	0.691	0.000	0.518	0.806	5.034	0.270	0.248	0.000	0.000	0.437	0.278	125.920	29.368	0.330	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000014.spe	55.34	5.07	1	0.017517	-0.010617	0.009793	0.091522	42990	1.39	0.000	0.151	1.422	0.000	0.848	6.620	1.298	7.168	1.174	1.117	143.672	0.714	0.000	1.372	0.330	2.421	2.631	4.891	0.000	0.147	0.377	0.000	0.526	0.000	0.043	0.000	0.865	0.000	0.518	1.400	0.000	0.686	0.267	0.693	0.356	0.225	0.396	4.606	0.081	0.174	0.000	0.000	0.353	0.000	137.387	30.540	0.341	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000015.spe	57.34	5.08	1	0.017519	-0.010617	0.009856	0.091522	43576	1.31	0.000	0.148	1.543	0.080	1.074	7.045	1.268	8.545	0.262	1.051	143.725	0.957	0.176	1.583	0.181	2.512	2.674	5.740	0.019	0.086	0.000	0.177	0.401	0.226	0.115	0.000	0.419	0.466	0.308	1.264	0.000	0.581	0.136	0.797	0.074	0.518	0.695	4.497	0.487	0.059	0.000	0.214	0.901	0.000	141.808	32.065	0.346	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000016.spe	59.34	5.05	1	0.017520	-0.010617	0.009856	0.091522	41338	1.18	0.000	0.134	1.445	0.056	0.981	5.896	1.347	7.086	0.893	1.056	148.841	0.825	0.000	1.308	0.000	2.473	2.510	4.547	0.072	0.033	0.357	0.012	0.457	0.000	0.065	0.000	0.284	0.241	0.000	1.425	0.000	0.391	0.000	0.354	0.000	0.405	0.898	4.772	0.027	0.218	0.104	0.000	0.247	0.000	123.154	29.451	0.329	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000017.spe	61.34	5.05	1	0.017522	-0.010617	0.009874	0.091522	46424	1.50	0.000	0.192	0.950	0.000	0.623	6.185	1.416	7.686	0.819	1.418	187.988	1.002	0.000	1.341	0.696	2.237	2.345	6.116	0.081	0.270	0.113	0.127	0.434	0.000	0.071	0.000	0.056	0.225	0.000	1.700	0.000	0.904	0.040	0.675	0.000	0.440	1.492	5.709	0.000	0.388	0.000	0.000	0.498	0.000	139.441	31.552	0.351	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000018.spe	63.34	5.06	1	0.017516	-0.010617	0.009850	0.091522	45538	1.33	0.000	0.210	0.820	0.038	0.895	6.014	1.948	7.283	0.736	1.805	140.348	0.706	0.104	1.691	0.670	2.769	1.932	4.426	0.000	0.032	0.154	0.017	0.450	0.033	0.000	0.000	0.347	0.000	0.129	1.645	0.027	0.827	0.584	0.561	0.000	0.508	0.762	4.469	0.045	0.095	0.000	0.075	0.666	0.000	150.491	32.475	0.354	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000019.spe	65.34	5.06	1	0.017517	-0.010617	0.009850	0.091522	47593	1.35	0.000	0.126	0.910	0.048	0.957	5.579	2.003	6.824	0.734	2.049	173.477	0.924	0.000	1.961	0.893	2.210	2.339	5.579	0.052	0.065	0.203	0.000	0.640	0.000	0.212	0.000	0.790	0.110	0.255	1.610	0.000	0.556	0.077	0.589	0.371	0.734	0.777	5.582	0.269	0.000	0.000	0.000	0.272	0.122	151.916	32.509	0.361	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000020.spe	67.34	5.05	1	0.017516	-0.010617	0.009863	0.091522	47030	1.37	0.000	0.066	0.829	0.105	0.965	5.946	2.033	6.784	0.159	1.733	179.718	0.866	0.000	1.462	0.779	2.565	2.888	4.099	0.048	0.081	0.126	0.018	0.497	0.165	0.048	0.000	1.210	0.000	0.000	1.748	0.000	1.298	0.220	0.059	0.000	0.540	1.565	5.144	0.000	0.000	0.000	0.000	0.505	0.274	153.948	32.140	0.360	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000021.spe	69.34	5.05	1	0.017514	-0.010617	0.009900	0.091522	46884	1.26	0.000	0.091	0.852	0.166	0.931	5.804	1.957	7.432	0.439	1.859	178.562	0.650	0.032	1.300	0.794	2.667	2.303	5.187	0.071	0.090	0.252	0.000	0.666	0.067	0.000	0.000	1.185	0.000	0.438	1.782	0.000	0.742	0.222	0.653	0.000	0.417	0.864	5.612	0.368	0.000	0.000	0.000	0.326	0.254	145.826	31.345	0.356	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000022.spe	71.34	5.04	1	0.017513	-0.010617	0.009921	0.091522	49199	1.49	0.000	0.093	0.773	0.076	0.933	5.966	1.916	7.420	0.221	1.650	214.513	0.643	0.000	1.476	0.864	2.878	2.944	5.818	0.080	0.105	0.152	0.012	0.570	0.237	0.000	0.000	1.926	0.000	0.379	2.174	0.000	0.699	0.000	0.828	0.000	0.829	1.151	5.658	0.000	0.172	0.000	0.000	0.187	0.000	152.066	33.310	0.366	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000023.spe	73.34	5.05	1	0.017518	-0.010617	0.009882	0.091522	47127	1.23	0.000	0.131	0.795	0.054	1.046	5.160	1.776	6.671	0.723	1.615	196.137	0.448	0.000	1.303	0.908	2.775	2.580	4.498	0.057	0.069	0.141	0.108	0.581	0.000	0.046	0.000	1.069	0.208	0.633	1.614	0.326	1.023	0.653	0.721	0.000	0.458	0.712	5.056	0.183	0.205	0.216	0.000	0.617	0.140	141.880	30.702	0.356	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000024.spe	75.34	5.06	1	0.017520	-0.010617	0.009870	0.091522	47858	1.48	0.000	0.065	0.777	0.049	1.100	6.632	1.676	7.355	0.933	1.708	199.838	0.918	0.000	1.405	0.995	2.909	2.919	4.025	0.017	0.014	0.074	0.000	0.698	0.000	0.000	0.000	0.398	0.222	0.173	1.565	0.000	0.949	0.252	1.212	0.203	0.436	1.124	5.752	0.235	0.056	0.000	0.000	0.573	0.147	146.106	31.174	0.356	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000025.spe	77.34	5.06	1	0.017520	-0.010617	0.009899	0.091522	46392	1.52	0.000	0.067	0.674	0.044	1.148	4.713	1.242	6.052	0.792	1.044	241.364	0.605	0.000	1.029	0.549	1.845	2.230	4.077	0.000	0.082	0.227	0.081	0.586	0.000	0.020	0.000	0.275	0.652	0.157	1.430	0.256	0.793	0.508	0.529	0.531	0.975	1.357	6.817	0.028	0.000	0.000	0.000	0.435	0.201	129.371	27.866	0.344	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000026.spe	79.34	5.17	0	0.017518	-0.010617	0.009941	0.091522	37825	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000027.spe	81.34	5.17	0	0.017516	-0.010617	0.009956	0.091522	39272	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000028.spe	83.34	5.17	0	0.017515	-0.010617	0.009974	0.091522	41035	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000029.spe	85.34	5.17	0	0.017521	-0.010617	0.009916	0.091522	37307	1.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000030.spe	87.34	5.17	0	0.017523	-0.010617	0.009965	0.091522	34208	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000031.spe	89.34	5.17	0	0.017524	-0.010617	0.010001	0.091522	32569	1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000032.spe	91.34	5.17	0	0.017522	-0.010617	0.010038	0.091522	26832	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000033.spe	93.34	5.46	1	0.017525	-0.010617	0.009992	0.091522	18936	1.63	0.000	0.026	0.000	0.026	1.440	0.075	0.064	0.160	0.000	0.000	2.824	0.373	0.096	0.092	0.083	1.150	1.325	3.137	0.039	0.159	0.015	0.041	0.000	0.000	0.000	0.000	0.150	0.134	0.314	0.229	0.000	0.000	0.000	0.497	0.701	0.000	0.000	0.454	0.000	0.000	0.000	0.000	0.110	0.166	83.651	22.350	0.287	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000034.spe	95.34	5.44	1	0.017524	-0.010617	0.010015	0.091522	16158	1.73	0.000	0.000	0.035	0.018	1.668	0.000	0.065	0.000	0.000	0.000	0.450	0.383	0.000	0.000	0.039	0.852	1.079	2.371	0.010	0.091	0.059	0.037	0.000	0.024	0.000	0.000	0.130	0.134	0.175	0.093	0.000	0.000	0.000	0.291	0.237	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.000	0.085	71.940	19.610	0.278	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000035.spe	97.34	5.40	1	0.017521	-0.010617	0.010052	0.091522	15181	1.55	0.000	0.000	0.000	0.012	1.675	0.000	0.000	0.057	0.000	0.000	0.827	0.376	0.015	0.000	0.068	0.746	1.004	2.144	0.053	0.032	0.029	0.046	0.000	0.000	0.000	0.000	0.106	0.109	0.140	0.175	0.000	0.059	0.051	0.451	0.123	0.013	0.000	0.241	0.000	0.012	0.000	0.000	0.056	0.054	65.340	18.371	0.266	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000036.spe	99.34	5.22	1	0.017522	-0.010617	0.009869	0.091522	17161	1.51	0.000	0.000	0.000	0.000	1.644	0.107	0.105	0.105	0.044	0.000	4.086	0.394	0.000	0.000	0.000	1.015	1.481	1.965	0.012	0.038	0.000	0.049	0.000	0.000	0.000	0.000	0.090	0.000	0.018	0.307	0.000	0.024	0.000	0.222	0.177	0.019	0.056	0.349	0.000	0.080	0.000	0.000	0.000	0.000	71.463	19.360	0.269	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000037.spe	101.34	5.08	1	0.017526	-0.010617	0.009713	0.091522	18674	1.37	0.000	0.000	0.034	0.000	1.544	0.271	0.207	0.141	0.000	0.000	8.814	0.350	0.000	0.121	0.000	0.986	1.371	3.149	0.032	0.117	0.033	0.023	0.030	0.082	0.000	0.041	0.018	0.000	0.099	0.323	0.000	0.000	0.000	0.479	0.406	0.000	0.000	0.610	0.000	0.000	0.000	0.000	0.134	0.000	76.609	20.915	0.272	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000038.spe	103.34	5.07	1	0.017525	-0.010617	0.009733	0.091522	18715	1.43	0.014	0.068	0.131	0.000	1.484	0.525	0.185	0.325	0.000	0.000	10.923	0.456	0.000	0.044	0.029	0.975	1.432	2.819	0.031	0.096	0.000	0.046	0.000	0.125	0.000	0.082	0.174	0.064	0.110	0.227	0.000	0.000	0.000	0.467	0.477	0.000	0.000	0.543	0.016	0.000	0.000	0.000	0.018	0.000	75.380	20.516	0.268	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000039.spe	105.34	4.99	1	0.017523	-0.010617	0.009859	0.091522	24866	1.33	0.000	0.000	0.570	0.000	1.402	2.140	0.374	2.006	0.265	0.319	54.665	0.408	0.000	0.236	0.118	1.156	1.491	2.357	0.000	0.078	0.144	0.013	0.127	0.000	0.000	0.000	0.364	0.164	0.000	0.687	0.000	0.144	0.180	0.621	0.512	0.320	0.318	1.244	0.000	0.062	0.024	0.000	0.199	0.158	82.856	21.867	0.272	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000040.spe	107.34	4.81	1	0.017518	-0.010617	0.009843	0.091522	31263	1.17	0.000	0.054	1.477	0.000	1.084	4.589	0.540	4.009	0.000	0.193	99.156	0.419	0.250	0.605	0.149	1.972	2.096	3.399	0.000	0.000	0.255	0.000	0.456	0.383	0.104	0.000	0.671	0.356	0.158	0.636	0.082	0.106	0.230	0.336	0.000	0.309	0.435	2.566	0.159	0.317	0.000	0.094	0.814	0.328	87.218	25.120	0.275	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000041.spe	109.34	4.78	1	0.017519	-0.010617	0.009829	0.091522	34057	1.21	0.000	0.042	1.879	0.025	1.015	4.868	0.639	4.533	0.174	0.288	123.713	0.480	0.000	0.646	0.018	1.855	2.183	4.369	0.000	0.038	0.029	0.039	0.497	0.137	0.195	0.000	0.300	0.547	0.161	1.227	0.000	0.078	0.361	0.162	0.000	0.615	0.372	3.065	0.664	0.064	0.195	0.518	0.610	0.308	93.011	25.746	0.285	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000042.spe	111.34	4.75	1	0.017520	-0.010617	0.009869	0.091522	30202	1.21	0.000	0.108	1.467	0.053	1.205	4.293	0.492	4.216	0.318	0.196	80.940	0.603	0.089	0.535	0.013	1.637	2.291	3.874	0.012	0.034	0.064	0.055	0.191	0.000	0.021	0.000	0.169	0.178	0.000	0.765	0.000	0.392	0.000	0.287	0.000	0.471	0.726	2.504	0.031	0.486	0.346	0.116	0.358	0.041	90.459	25.037	0.281	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000043.spe	113.34	4.84	1	0.017521	-0.010617	0.009911	0.091522	31722	1.14	0.000	0.048	1.705	0.000	1.068	4.128	0.491	4.676	0.334	0.216	101.538	0.607	0.123	0.774	0.000	1.958	2.060	3.432	0.000	0.048	0.279	0.000	0.274	0.000	0.110	0.000	0.182	0.633	0.153	0.781	0.111	0.272	0.385	0.397	0.000	0.326	0.321	2.923	0.459	0.451	0.173	0.398	0.752	0.181	89.268	25.313	0.279	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000044.spe	115.34	4.77	1	0.017523	-0.010617	0.009933	0.091522	30598	1.33	0.000	0.130	1.648	0.067	1.197	4.683	0.503	5.838	0.299	0.183	101.025	0.606	0.205	0.574	0.000	1.495	1.863	3.516	0.000	0.020	0.095	0.044	0.515	0.016	0.077	0.000	0.000	0.168	0.000	0.852	0.000	0.236	0.347	0.183	0.087	0.526	0.995	2.960	0.000	0.311	0.299	0.000	0.357	0.200	82.462	22.906	0.273	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000045.spe	117.34	4.79	1	0.017518	-0.010617	0.009968	0.091522	31797	1.20	0.000	0.044	1.647	0.018	0.852	5.158	0.436	4.589	0.418	0.277	101.604	0.387	0.000	0.557	0.000	2.170	2.106	2.619	0.043	0.131	0.229	0.026	0.487	0.000	0.209	0.000	0.482	0.000	0.157	0.840	0.024	0.369	0.363	0.448	0.000	0.340	0.402	2.501	0.015	0.266	0.000	0.764	0.572	0.000	89.619	25.441	0.280	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000046.spe	119.34	4.79	1	0.017520	-0.010617	0.009947	0.091522	34126	1.27	0.000	0.105	1.741	0.000	0.974	5.849	0.645	5.333	0.709	0.300	122.912	0.611	0.000	0.616	0.147	2.057	2.728	2.483	0.054	0.073	0.144	0.084	0.423	0.000	0.058	0.000	0.535	0.637	0.133	0.954	0.000	0.272	0.215	0.437	0.037	0.587	0.451	3.112	0.323	0.206	0.000	0.260	1.302	0.317	93.116	26.344	0.286	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000047.spe	121.34	4.85	1	0.017518	-0.010617	0.009947	0.091522	33664	1.34	0.000	0.040	1.468	0.011	1.071	5.233	0.695	4.526	0.224	0.236	125.937	0.630	0.000	0.629	0.000	1.969	2.447	3.122	0.000	0.026	0.155	0.000	0.401	0.234	0.265	0.000	0.137	0.329	0.000	1.022	0.032	0.218	0.375	0.694	0.000	0.483	1.106	4.015	0.235	0.142	0.038	0.520	0.844	0.000	90.401	24.680	0.278	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000048.spe	123.34	4.89	1	0.017518	-0.010617	0.009883	0.091522	33948	1.34	0.000	0.133	1.370	0.000	1.059	5.321	0.600	4.282	0.013	0.118	133.668	0.416	0.000	0.888	0.075	2.401	2.626	3.401	0.049	0.048	0.253	0.000	0.377	0.325	0.065	0.000	0.668	0.135	0.221	1.245	0.339	0.491	0.653	0.465	0.000	0.436	0.794	3.942	0.250	0.225	0.000	0.000	0.131	0.289	87.960	24.467	0.281	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000049.spe	125.34	4.92	1	0.017517	-0.010617	0.009845	0.091522	34274	1.27	0.000	0.136	1.272	0.023	1.019	5.381	0.485	5.236	0.551	0.424	123.595	0.448	0.036	0.691	0.000	2.201	2.631	4.184	0.000	0.158	0.072	0.072	0.424	0.000	0.209	0.000	1.296	0.034	0.270	1.054	0.000	0.065	0.179	0.534	0.000	0.335	0.650	2.965	0.030	0.061	0.053	0.000	0.556	0.146	95.613	25.670	0.289	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000050.spe	127.34	4.92	1	0.017515	-0.010617	0.009826	0.091522	36940	1.40	0.000	0.136	1.707	0.000	1.250	6.445	0.677	5.446	0.477	0.409	154.274	0.637	0.096	0.744	0.000	2.355	2.371	3.346	0.013	0.000	0.199	0.000	0.571	0.000	0.011	0.000	1.730	0.000	0.561	0.987	0.295	0.246	0.310	0.340	0.000	0.520	0.567	3.761	0.367	0.145	0.131	0.079	0.557	0.306	98.845	26.827	0.295	
